Scan_Index,Timestamp_s,RayPath_ID,Tx_Channel,Rx_Channel,TimeOfFlight_us,Method,Status
1,1789340426.260,1,1,2,68.6364,HilbertEnvelope,OK
2,1789340428.574,1,1,2,68.5402,HilbertEnvelope,OK
3,1789340430.766,1,1,2,68.6271,HilbertEnvelope,OK
4,1789340432.953,1,1,2,68.6782,HilbertEnvelope,OK
5,1789340435.153,1,1,2,68.6878,HilbertEnvelope,OK
6,1789340437.347,1,1,2,68.5067,HilbertEnvelope,OK
7,1789340439.529,1,1,2,68.6283,HilbertEnvelope,OK
8,1789340441.713,1,1,2,68.6625,HilbertEnvelope,OK
9,1789340443.905,1,1,2,68.7023,HilbertEnvelope,OK
10,1789340446.180,1,1,2,68.6538,HilbertEnvelope,OK
11,1789340448.399,1,1,2,68.7007,HilbertEnvelope,OK
12,1789340450.593,1,1,2,68.5190,HilbertEnvelope,OK
13,1789340452.828,1,1,2,68.6801,HilbertEnvelope,OK
14,1789340455.082,1,1,2,68.6361,HilbertEnvelope,OK
15,1789340457.358,1,1,2,68.5263,HilbertEnvelope,OK
16,1789340459.618,1,1,2,68.6140,HilbertEnvelope,OK
17,1789340461.812,1,1,2,68.5235,HilbertEnvelope,OK
18,1789340464.003,1,1,2,68.6440,HilbertEnvelope,OK
19,1789340466.204,1,1,2,68.8293,HilbertEnvelope,OK
20,1789340468.387,1,1,2,68.5201,HilbertEnvelope,OK
21,1789340469.282,1,1,2,68.6933,HilbertEnvelope,OK
22,1789340471.313,1,1,2,67.8544,HilbertEnvelope,OK
23,1789340473.343,1,1,2,68.2392,HilbertEnvelope,OK
